hour,is_weekend,avg_speed,road_type,congestion
3,1,45.1,2,0.26
13,0,57.7,1,0.28
21,0,22.6,3,0.71
3,1,50.6,1,0.2
15,0,61.0,1,0.24
0,1,37.3,2,0.4
3,1,18.4,3,0.66
14,0,19.8,3,0.74
6,0,17.6,3,0.72
16,0,39.4,2,0.51
18,1,66.3,1,0.45
2,1,31.3,2,0.56
9,1,46.2,2,0.64
23,0,41.4,2,0.42
4,1,32.4,2,0.52
18,0,69.7,1,0.44
0,0,17.8,3,0.75
18,1,47.0,2,0.6
19,1,38.7,2,0.79
6,0,30.3,2,0.66
22,0,38.9,2,0.52
7,0,51.9,1,0.28
9,0,26.1,3,0.98
23,1,16.2,3,0.57
6,0,53.7,1,0.37
20,1,28.5,3,0.65
11,1,43.2,2,0.38
12,0,38.7,2,0.51
9,0,31.9,2,0.99
5,0,69.2,1,0.13
8,0,22.4,3,1.0
15,0,16.5,3,0.86
12,1,29.1,3,0.44
19,1,32.7,2,0.7
15,0,32.3,2,0.64
14,0,56.8,1,0.37
19,0,47.0,2,0.79
11,1,26.4,3,0.51
16,1,16.1,3,0.72
9,1,48.3,2,0.61
13,1,46.1,2,0.29
21,0,32.4,2,0.52
12,1,24.6,3,0.66
11,0,64.5,1,0.19
2,1,65.4,1,0.07
1,1,29.5,3,0.54
2,0,51.8,1,0.3
13,0,49.2,2,0.36
12,0,50.3,1,0.36
13,1,26.6,3,0.51
19,1,26.8,3,0.76
21,0,51.8,1,0.32
8,0,57.4,1,0.59
17,0,42.4,2,0.82
14,0,15.2,3,0.85
14,1,26.3,3,0.51
23,0,52.6,1,0.42
0,1,56.1,1,0.07
7,1,34.7,2,0.42
5,1,52.9,1,0.26
5,0,40.1,2,0.48
6,1,52.8,1,0.23
2,0,55.4,1,0.23
16,0,32.2,2,0.58
12,0,39.8,2,0.44
21,0,37.3,2,0.52
1,1,63.3,1,0.13
23,0,20.3,3,0.75
7,1,43.0,2,0.4
1,0,32.0,2,0.65
0,1,21.8,3,0.6
17,0,41.7,2,0.77
5,1,43.4,2,0.32
9,0,67.0,1,0.42
3,0,64.3,1,0.19
1,0,25.3,3,0.63
17,1,38.4,2,0.79
22,1,26.8,3,0.52
21,1,33.7,2,0.45
5,1,54.8,1,0.21
6,1,27.3,3,0.63
9,1,22.7,3,0.99
17,0,20.3,3,0.98
9,0,61.1,1,0.51
17,0,62.6,1,0.5
7,1,52.0,1,0.26
1,1,50.7,1,0.25
19,0,23.3,3,1.0
7,0,44.5,2,0.47
18,1,68.9,1,0.35
20,0,21.9,3,0.73
9,0,24.2,3,1.0
23,1,47.9,2,0.27
15,1,51.7,1,0.23
4,1,54.4,1,0.24
10,0,22.0,3,0.94
19,0,62.4,1,0.48
3,0,45.2,2,0.51
14,1,69.0,1,0.01
9,1,24.7,3,0.89
4,1,36.5,2,0.44
9,1,63.9,1,0.35
23,0,61.7,1,0.21
22,1,32.4,2,0.51
19,1,28.6,3,0.85
2,1,52.3,1,0.21
22,0,40.2,2,0.45
6,1,63.8,1,0.13
16,1,22.8,3,0.62
14,1,39.0,2,0.47
18,1,32.6,2,0.71
21,1,39.7,2,0.34
8,0,63.2,1,0.47
22,0,67.9,1,0.1
10,0,23.9,3,1.0
16,0,65.5,1,0.08
10,1,50.6,1,0.52
14,1,49.0,2,0.38
5,1,44.6,2,0.38
22,1,56.5,1,0.16
