hour,is_weekend,avg_speed,road_type,distance_km,congestion
0,0,53.67,2,8.07,0.756
0,0,31.16,1,1.98,0.778
0,0,25.62,0,6.21,0.967
1,0,24.17,0,6.37,1.0
1,0,19.37,0,4.6,0.937
1,0,65.7,2,4.83,0.436
2,0,69.66,2,4.13,0.393
2,0,51.3,2,2.12,0.459
2,0,27.13,0,9.67,1.0
3,0,62.2,2,6.99,0.557
3,0,57.82,2,2.15,0.413
3,0,40.93,1,5.44,0.725
4,0,46.85,1,0.8,0.345
4,0,36.53,1,7.41,0.862
4,0,30.9,1,2.36,0.681
5,0,41.74,1,5.63,0.681
5,0,23.14,0,3.17,0.885
5,0,21.35,0,0.65,0.746
6,0,15.08,0,2.39,0.96
6,0,62.12,2,8.01,0.668
6,0,32.32,1,3.91,0.808
7,0,37.42,1,1.41,0.651
7,0,44.59,1,3.59,0.664
7,0,29.58,0,4.14,0.852
8,0,61.23,2,7.73,0.969
8,0,16.66,0,7.25,1.0
8,0,28.44,0,2.42,1.0
9,0,42.09,1,1.82,0.864
9,0,54.58,2,7.68,1.0
9,0,42.49,1,8.86,1.0
10,0,47.43,1,6.52,1.0
10,0,36.49,1,8.89,1.0
10,0,56.36,2,9.01,1.0
11,0,37.05,1,0.5,0.544
11,0,60.21,2,0.57,0.205
11,0,54.88,2,3.06,0.446
12,0,60.38,2,3.57,0.377
12,0,18.7,0,2.91,0.982
12,0,56.02,2,5.22,0.564
13,0,36.9,1,0.81,0.703
13,0,17.17,0,2.78,0.941
13,0,65.23,2,6.89,0.528
14,0,66.06,2,2.8,0.332
14,0,31.81,1,5.59,0.881
14,0,22.62,0,1.93,0.853
15,0,64.22,2,2.59,0.348
15,0,62.9,2,2.65,0.373
15,0,52.75,2,9.4,0.765
16,0,28.87,0,1.58,0.7
16,0,40.33,1,9.83,1.0
16,0,16.4,0,2.8,0.863
17,0,66.93,2,7.15,0.931
17,0,42.84,1,7.91,1.0
17,0,68.8,2,4.04,0.734
18,0,17.41,0,0.55,1.0
18,0,25.68,0,2.63,1.0
18,0,17.68,0,5.19,1.0
19,0,61.37,2,6.75,0.884
19,0,55.3,2,3.99,0.902
19,0,57.0,2,4.63,0.857
20,0,22.39,0,5.98,1.0
20,0,65.37,2,5.93,0.437
20,0,22.05,0,9.95,1.0
21,0,19.96,0,9.55,1.0
21,0,49.27,1,9.68,0.846
21,0,19.03,0,2.31,0.917
22,0,61.14,2,2.11,0.35
22,0,42.3,1,1.42,0.562
22,0,35.08,1,3.91,0.706
23,0,25.63,0,1.8,0.71
23,0,66.19,2,3.29,0.352
23,0,15.08,0,1.28,0.888
0,0,16.06,0,2.35,0.889
0,0,57.51,2,3.71,0.46
0,0,43.44,1,4.67,0.645
1,0,41.82,1,3.22,0.616
1,0,30.78,1,2.88,0.777
1,0,26.55,0,5.46,0.847
2,0,27.63,0,4.84,0.878
2,0,64.52,2,6.56,0.457
2,0,25.72,0,9.71,1.0
3,0,51.57,2,4.67,0.565
3,0,16.21,0,2.25,0.999
3,0,17.35,0,2.15,0.857
4,0,31.88,1,2.78,0.754
4,0,64.6,2,4.64,0.537
4,0,57.12,2,2.85,0.417
5,0,46.14,1,7.75,0.904
5,0,24.75,0,4.91,0.92
5,0,40.06,1,6.45,0.848
6,0,25.26,0,5.62,0.994
6,0,41.72,1,0.75,0.524
6,0,63.54,2,8.11,0.559
7,0,29.12,0,5.68,0.93
7,0,63.03,2,8.29,0.593
7,0,50.78,2,4.08,0.526
8,0,31.42,1,6.99,1.0
8,0,35.21,1,3.74,1.0
8,0,63.93,2,1.62,0.677
9,0,19.23,0,8.13,1.0
9,0,41.37,1,4.52,1.0
9,0,41.61,1,2.88,1.0
10,0,67.17,2,9.34,1.0
10,0,20.67,0,2.76,1.0
10,0,27.4,0,5.3,1.0
11,0,29.38,0,1.01,0.668
11,0,56.39,2,1.37,0.459
11,0,24.04,0,1.37,0.821
12,0,68.92,2,2.52,0.247
