Hospital_Name,Latitude,Longitude
Apollo Hospitals Greams Road,13.06323542648870,80.25153587618320
MIOT International,13.021362281483700,80.18580887957440
Gleneagles Global Health City,12.897934080362400,80.20614191608460
"MGM Healthcare, Malar",13.010228905701100,80.2585964927654
Kauvery Hospital Alwarpet,13.038280209939000,80.25713814866310
Kauvery Hospital Radial Road,12.948220276744200,80.18968931270970
Dr. Kamakshi Memorial Hospital,13.001578961413100,80.25764317904480
Parvathy Hospital,12.946228879121500,80.13668463099250
VS Hospitals,13.077987951543000,80.24154283620250
Medway Hospitals,13.053669333778400,80.22751608028440
Chettinad Hospital,12.796414556963600,80.21786638533290
Prashanth Hospitals,12.97874749849330,80.22138633288880
Dr. Mehta's Hospitals,13.074985659625500,80.2412902953499
Rela Hospital Chromepet,12.955187697501500,80.13870108235630
SIMS Hospital Vadapalani,13.051736696278000,80.21172892686720
Billroth Hospital,13.076316502281000,80.22730482141260
Hindu Mission Hospital Tambaram,12.92384107000060,80.11409107787880
Deepam Hospital,12.92959455965150,80.11748849151260
Vignesh Hospital Porur,13.031011540764700,80.17148427727110
Srinivas Priya Hospital Perambur,13.10976150172600,80.24635951139990
KKR ENT Hospital (Trauma Affiliate),13.06441180841830,80.17734712185950
Meridian Hospital,13.136371374984600,80.21596943422900
Prime Indian Hospitals,13.076824033428500,80.20577190556200
Kannappa Memorial Hospital,13.076256108929900,80.23614956439720
St. Isabel's Hospital,13.038723735623600,80.26210563742460
Devaki Hospital,9.92876289866071,78.09864210083710
Rajiv Gandhi Govt Hospital,13.081953928641900,80.27676079137270
Govt Kilpauk Medical College,13.076778486364400,80.24287766530170
Stanley Medical College Hospital,13.106229439245400,80.28585973371330
Saveetha Medical College Hospital,13.024553203678200,80.01566436254110
Sree Balaji Medical College Hospital,12.955310614787400,80.13766999322740
Tagore Medical College Hospital,12.860426373306300,80.13595771835010
SRM Medical College Hospital,12.823247562924900,80.0478981865417
Meenakshi Medical College Hospital,12.87257988800220,79.7238393913785
ACS Medical College Hospital,13.058145359101500,80.12733005841680
Shanmuga Hospital,13.22953043481570,80.16605790196250
Frontier Lifeline Hospital,13.087919552750200,80.18562509324000
Sooriya Hospital,13.048293957285800,80.20344064931710
Sri Ramachandra Trauma Block,13.038089656830900,80.14443301399020
Apollo Spectra Hospitals,13.036276950277500,80.25729712179980
Bloom Life Hospital,12.979778820654400,80.22774355088800
Grace Hospital,12.956910581535300,80.18684099321100
Hande Medical Centre,13.061264822129500,80.24660991336300
The Madras Medical Mission,13.086199604800100,80.18715709322310
Sree Baaji Medical College and Hospital,12.955284640774800,80.13766815209970
